title,medium,culture,department,region
Altar to the Hand (Ikegobo),Wood,Edo peoples,The Michael C. Rockefeller Wing,none
The Story of Esther,Tempera and gold on wood,none,European Paintings,none
Bracelet,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Figure: Oba with Ceremonial Sword,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Hip Ornament: Face,Brass (cast),Edo peoples,The Michael C. Rockefeller Wing,none
Waist Pendant: Equestrian,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Altar Tusk,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Waist Pendant: Equestrain,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Head with Four Legs,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Bracelet: Mudfish,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Vessel,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Head,Terracotta,Edo peoples,The Michael C. Rockefeller Wing,none
Rattle Staff (Ukhurhe),Wood,Edo peoples,The Michael C. Rockefeller Wing,none
Altar Tusk,Ivory,Edo peoples,The Michael C. Rockefeller Wing,none
Vessel with Handle,"Ceramic, pigment",Paracas,The Michael C. Rockefeller Wing,none
Figure: Male Attendant,"Bronze, copper",Edo peoples,The Michael C. Rockefeller Wing,none
Hip Ornament: Face,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Hip Ornament: Face,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
Plaque: Mudfish,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Head of an Oba,Brass (cast),Edo peoples,The Michael C. Rockefeller Wing,none
Head of an Oba,"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
U-Shaped Plaque: Mudfish-Legged King and Supporters,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Hip Ornament: Face,"Brass, iron, copper alloy",Edo peoples,The Michael C. Rockefeller Wing,none
Base of Lidded Vessel,"Brass, copper",Edo peoples,The Michael C. Rockefeller Wing,none
Idiophone: Bird of Prophecy (ahianmwen-oro),Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Waist Pendant: Crocodile Head,"Brass, copper alloy",Edo peoples,The Michael C. Rockefeller Wing,none
Vessel,Brass,Edo peoples,The Michael C. Rockefeller Wing,none
Idiophone: Bird of Prophecy (ahianmwen-oro),"Brass, iron",Edo peoples,The Michael C. Rockefeller Wing,none
